50000,718177
100000,1536407
150000,2392225
200000,3272666
250000,4168967
300000,5085004
350000,6011308
400000,6944898
450000,7888795
500000,8837569
550000,9797435
600000,10768728
650000,11744361
700000,12722964
750000,13705621
800000,14690785
850000,15684631
900000,16678902
950000,17674864
1000000,18673782
